file_type,source_zip,source_file,source_path,ID,Name,Created,Description,Playlist URL
csv,business_casual01,rounds.csv,data/extracted/business_casual01__rounds.csv,0a719aa48b3d4a36a301e0cd557c4b22,Pick two for the birthday boy,2023-10-20T14:54:30Z,Let's give Brandon a playlist for his birthday weekend ,https://open.spotify.com/playlist/279QEEPCGdjQLHX3lF72ZQ
csv,business_casual02,rounds.csv,data/extracted/business_casual02__rounds.csv,b9edcf0c9aa94238a5f8040bd36eddf3,"Celebrating 8 pound, 6 ounce Baby Jesus",2023-12-13T19:18:42Z,Please help me find new songs to listen to it's only the 13th and I'm not going to make it,https://open.spotify.com/playlist/11oHtOgFOS1JQ3yTWUw8EG
csv,business_casual03,rounds.csv,data/extracted/business_casual03__rounds.csv,2247fe77456147368703ad5457921bfe,Tennessee ,2024-06-13T23:12:47Z,Cause you're the only 10s I see,https://open.spotify.com/playlist/07zKI4Wi2Bz2WQIFWLO9M4
csv,business_casual04,rounds.csv,data/extracted/business_casual04__rounds.csv,e335da4152144dc8874571327e2ed4f4,Mr Worldwide,2024-07-30T17:30:46Z,Chart toppers from the countries going for gold,https://open.spotify.com/playlist/7vN3nL4ekV5l0ibuKsPvP1
csv,business_casual04,rounds.csv,data/extracted/business_casual04__rounds.csv,3acc93a28e514783949266062f83ffb5,'lympics,2024-07-30T17:30:46Z,Songs with at least a passable connection to an Olympic event ,https://open.spotify.com/playlist/0nWvBZKU3P5r59SWHC0rvp
csv,business_casual05,rounds.csv,data/extracted/business_casual05__rounds.csv,6762e76a397a41c78e98ddf5312e2b90,These meds are working!,2025-09-23T23:00:21Z,Trippy songs for Brandon's post op high,https://open.spotify.com/playlist/7g8rWIdFCIi4OCUf2TlIEK
csv,business_casual05,rounds.csv,data/extracted/business_casual05__rounds.csv,980a6038cb96424c8f7939665f9cdde8,These meds aren't working ,2025-09-23T23:00:21Z, The type of songs that Brandon is used to listening to. ,https://open.spotify.com/playlist/519Wu0hwCuNUrpOB2vTjgR
csv,season01,rounds.csv,data/extracted/season01__rounds.csv,750351fa296b463299607f8607a12830,Forgotten 90s hits,2023-01-26T21:31:38Z,"Maybe a one hit wonder, maybe just banger that didn't make it onto the right NOW mix. ",https://open.spotify.com/playlist/3pgk6mPc25V2Ibju8hAtNu
csv,season01,rounds.csv,data/extracted/season01__rounds.csv,73aac5a9a008465880d9554c7a1a2f29,Covers,2023-01-26T21:31:38Z,Songs previously recorded by another artist,https://open.spotify.com/playlist/5kDq2Dx1CssldecdaTWHVF
csv,season01,rounds.csv,data/extracted/season01__rounds.csv,1e381d90fd37422186f03f55f8abfee5,Deep Cuts,2023-01-26T21:31:38Z,Songs that are not well-known by artists who are very well-known,https://open.spotify.com/playlist/1b2FyO54E80OByHwG1Yplg
csv,season01,rounds.csv,data/extracted/season01__rounds.csv,7d237a0b217c43aab145bc790726635d,Early Days,2023-01-26T21:31:38Z,Songs from famous bands that were released before they were well-known,https://open.spotify.com/playlist/47kcwRHcb2BML2j2TjCkqW
csv,season01,rounds.csv,data/extracted/season01__rounds.csv,47f14e6b92a54d6792824933f4b9f207,Slappin the drums,2023-01-26T21:31:39Z,Songs featuring epic drum solos,https://open.spotify.com/playlist/1fkrQOokUtjAJo5PJtsvOs
csv,season01,rounds.csv,data/extracted/season01__rounds.csv,8d42b211add24213b737cee5e62154fb,We'll do it live!,2023-01-26T21:31:39Z,Excellent live performances (excluding 50 Cents halftime show),https://open.spotify.com/playlist/5SSryxoLeblYgbbnZc0v3y
csv,season02,rounds.csv,data/extracted/season02__rounds.csv,7e59396ada8749b49e430a36303ec99a,Bluegrass,2023-03-03T16:09:11Z,Bring your own stringed instrument for free entry,https://open.spotify.com/playlist/1XaPNrQ1RdFqTe2pRpmc2L
csv,season02,rounds.csv,data/extracted/season02__rounds.csv,4fd2dbe3ca4c4776a4e0b18a202b7264,Mash Up,2023-03-03T16:09:11Z,"Ok guys we're a little behind for sectionals, thanks to our Sue Sylvester detour, but you guys seem to really enjoy doing madh ups, right?",https://open.spotify.com/playlist/3o9lnBhg7PrGVAHj0QhzMq
csv,season02,rounds.csv,data/extracted/season02__rounds.csv,f756ce16414347659ba1ccfcf1343b0e,Singing in Non English,2023-03-03T16:09:11Z,I've never even heard of Bad Bunny,https://open.spotify.com/playlist/3Uj5OyFF1jBpMac95dW6O4
csv,season02,rounds.csv,data/extracted/season02__rounds.csv,874f3bfb7db24e64b445cee8544a4758,Sample Pairs,2023-03-03T16:09:12Z,"Select title, artist, original_artist from tracks sample 2. ",https://open.spotify.com/playlist/1RsxfAiEGXXYrxV1ofTy61
csv,season02,rounds.csv,data/extracted/season02__rounds.csv,4a1605f85fe74632a1d937c028aa8c4e,90s rap,2023-03-03T16:09:12Z,Sippin on actual juice and rolling up or car windows at red lights. ,https://open.spotify.com/playlist/5sOxtEyrh5iGUKeKLFvnrB
csv,season02,rounds.csv,data/extracted/season02__rounds.csv,63047068027e4d5ea0a2f331d6f67b4d,Sad Songs ,2023-03-03T16:09:12Z,(Say So Much),https://open.spotify.com/playlist/079V4g1x6WElfD24gnTskD
csv,season02,rounds.csv,data/extracted/season02__rounds.csv,2fc96b8d10c84ebab5d344f0e9fed417,Classical Rocks,2023-03-03T16:09:13Z,We're gonna need a bigger stage,https://open.spotify.com/playlist/5L7nVamqYHWhcxL3GHvJs1
csv,season02,rounds.csv,data/extracted/season02__rounds.csv,2ef230dcc66c4f31b0fb3f19ae1fc8d5,Zero to 100,2023-03-03T16:09:13Z,No Stairway! Denied!,https://open.spotify.com/playlist/6uDKU7nEdKiSXMLs0b1Uk5
csv,season03,rounds.csv,data/extracted/season03__rounds.csv,f228434448be434281377749971d4625,"Fill my eyes, with that double vision ",2023-04-06T13:27:54Z,"1 song, 2 genres. Vote in pairs so make both versions count",https://open.spotify.com/playlist/50iyaIekLdbnan64X9ZZtG
csv,season03,rounds.csv,data/extracted/season03__rounds.csv,ae9959191e394f2183feee969ca80595,Happy Cuts!,2023-04-06T13:27:54Z,Songs a mother (no one in particular) would want to head during a c section. ,https://open.spotify.com/playlist/4dLGFdhTNGI0LgPPdst6yb
csv,season03,rounds.csv,data/extracted/season03__rounds.csv,cf841870b13e4e0383164ca93d017ab9,Going the other way here,2023-04-06T13:27:54Z,"Murder ballads, songs that tell a story about a murder or the reason for a murder as their core theme ",https://open.spotify.com/playlist/4LntMOUKbMrcTLf7vSBKfv
csv,season03,rounds.csv,data/extracted/season03__rounds.csv,78b85d0390d34788b8ddb597ad7bc4e1,Recency Bias,2023-04-06T13:27:54Z,Songs from artists that debuted in the past 5 years. ,https://open.spotify.com/playlist/7ia49Q3LZcjsSmd16qAA47
csv,season03,rounds.csv,data/extracted/season03__rounds.csv,acfa74aade3a4db4ba881dcabc17e231,Unfortunate Jams,2023-04-06T13:27:55Z,"Good songs by, as the youth would say, cring artists",https://open.spotify.com/playlist/6jLpm9dgHoqdsTpxzjo2iO
csv,season03,rounds.csv,data/extracted/season03__rounds.csv,485da6ede92d478e837d326e39006ddd,Jessie's Girl,2023-04-06T13:27:55Z,"Songs that mention a Beth, Jennifer, Sarah, Megan, Sandy or Jackie. Spelling not important ",https://open.spotify.com/playlist/1FCM7FqFiPAve8HJN6jPjL
csv,season04,rounds.csv,data/extracted/season04__rounds.csv,be152f6b315443eaa762fff5f8838e1b,"So it hasn't been your day, your week, your month, or even your year",2023-05-16T14:23:51Z,Songs that would be a good intro to a TV show you pitch in the comments (TV show is also made up by the user),https://open.spotify.com/playlist/46Rr3RMZGamQfB408OkTSR
csv,season04,rounds.csv,data/extracted/season04__rounds.csv,252b5ccda96f4586881b2580689d870f,I can't feel my face when I'm with you,2023-05-16T14:23:51Z,"In the genres of metal or hard rock, epic songs to melt your face. ",https://open.spotify.com/playlist/4bXG7vbSurrmTJPrWDGxm2
csv,season04,rounds.csv,data/extracted/season04__rounds.csv,6879b5dab8ff415bbd551fa32312e2f0,"Kids bops, da ba da do bops",2023-05-16T14:23:52Z,Songs meant for kids that are actually good,https://open.spotify.com/playlist/3X260JNznBtwVX2GyWV5WA
csv,season04,rounds.csv,data/extracted/season04__rounds.csv,dbf72b749cdc4609b161d1ae6e245cc3,"You can do magic, you can do anything your heart desires ",2023-05-16T14:23:52Z,Songs about actual magicians like David Blaine and Penn and Teller. I'm 99 percent sure this is what Brock meant,https://open.spotify.com/playlist/2VuTa2ZT8MI7iRqIAoRge7
csv,season04,rounds.csv,data/extracted/season04__rounds.csv,a46fecfa1eb04e07a6b307c1d167c40c,Drop it like it's hot,2023-05-16T14:23:52Z,Songs with an epic drop,https://open.spotify.com/playlist/5gO548zHdffsbj74yrGaYV
csv,season04,rounds.csv,data/extracted/season04__rounds.csv,3a034f5e6e08410babc37973cff4347f,That's what she said,2023-05-16T14:23:52Z,I really liked it but it was over in under 3 minutes ,https://open.spotify.com/playlist/78tRNQEFrWrllLAqgpmHoQ
