ID,Created,Name,Description,Playlist URL
67bbf6c450664b80b83d97fb2a8fd010,2023-06-30T14:14:28Z,Current Events,These 2 songs are the ones lighting up your recently played list,https://open.spotify.com/playlist/2FNTPRZbWdImaBQ8X0Pqn9
be3b8c0a72b547e2a273a2a4eeb84b04,2023-06-30T14:14:28Z,US Holidays,"Although traditionally played during the pagan winter solstice season, these two songs deserve your consideration year round. ",https://open.spotify.com/playlist/13Ktdcf9gUNSc4NB4Vzbvg
7ebf8e6513fc477eae0143db5d2e9a08,2023-06-30T14:14:28Z,Science ,"These two songs pay tribute to the ancient Greek philosophers that posit all of the universe is created from the four basic elements of Fire, Water, Earth and Air. ",https://open.spotify.com/playlist/7GSucPhchZ02u7ozOXSmWN
e46119179338443db642e11b14524178,2023-06-30T14:14:29Z,Potent Potables,"Melancholic music of African American folk origin, typically in a 12 bar sequence, these 2 songs exemplify this genre",https://open.spotify.com/playlist/3L5tqWdnXOGDTcgB9S0YaL
34a2b2e0a381446eb7177df51678e6d8,2023-06-30T14:14:29Z,The Pen Is Mightier ,"Paying homage to the infamously pompous playwright, Edward George Bulwer-Lytton, these two songs demonstrate that a songs lyrics can overshadow it's instrumentation ",https://open.spotify.com/playlist/5AlPoKJPSvFfQOlUlFa7p1
143e9cd2336249a79458cc6a65dae199,2023-06-30T14:14:29Z,Sports,"From CWC to NWA to WWWF to WWF to WWFE and finally landing on WWE, these two songs are actually not about acronyms but would benefit the organization for two original characters and their entrance themes ",https://open.spotify.com/playlist/2d8SG5eG5vXzMGoVbBbfAv
b0f5dcb14ae74f71b51a143b21a952e9,2023-06-30T14:14:30Z,Potpouri,"Reminiscent of the vague, flowery, allergy inducing smells of your childhood, these two songs could have played through the 8 track stereo (victrola) on the night of your conception ",https://open.spotify.com/playlist/7KuB7HrcVPPpXM5VnfMTiT
cfc8a620fb624ae681df28496a59829d,2023-06-30T14:14:30Z,Space,"The expanse that exists beyond Earth and its atmosphere, a near perfect vacuum containing a low density of particles, these two songs pay homage to the great unknown ",https://open.spotify.com/playlist/4Fo9vgD5ttUr3dzdE0cADG
272ac6a8013a440daeb946f14c2622e1,2023-06-30T14:14:31Z,Food & Drink,"In a second nod to four elements, Samin Nosrat proposes that the mastery of four elements of Salt, Fat, Acid, and Heat are the keys to successful cuisine, these two songs pay homage to food",https://open.spotify.com/playlist/6nC6yZxnXqmNOk4nJKYUYZ
44acd0480f724dfabd89eb53ab2263a8,2023-06-30T14:14:31Z,Music,"Originating in the mid 1960s, with James Browns development of a signature groove that emphasized the downbeat, these two songs should be broadcast directly from the mothership through the station W-E-F-U-N-K directly into your eardrum with 500,000 kilowatts of power",https://open.spotify.com/playlist/6gD3bKNgCCD4GSF14GITJj
e939db79441b4399b3d8f00adc7ada6a,2023-06-30T14:14:31Z,Colors,"Often lost in the shuffle, Sir Isaac Newton's treatise 'Optics' published in 1704, forever changed mankind's understanding of light and it's refraction properties, spawning countless children's songs and and Irish treasure hunts, his identification of ROYGBIV pales in comparison to inventing physics but serves as inspiration to these two tracks ",https://open.spotify.com/playlist/2Gy1eZ8mRhbfDttsOYGZ1h
131bc22de2774afdad8f1a2c28855ca5,2023-06-30T14:14:32Z,Before & After,"Paying homage to the most commonly repeated jeopardy category, the title of the second track begins with the final word of the first track",https://open.spotify.com/playlist/1EDnIWL0PVRdFHxWwMvwEx
